Term,,Course Offering ID,Course Title,Course Credits,Course Instructors,Course Details,Time Block,Monday,Tuesday,Wednesday,Thursday,Friday
2021-2022 Fall 2021 Term,,SOCI102_Fall2021_S01,Traditions of Inquiry in the Social Sciences,4,Jonathan London,"Visiting Faculty: Jonathan London - E 
Level: Foundation
Credits: 04 credits
Pre-requisite: No
Format: Online
Course Description: This course explores traditions of inquiry, understanding, and explanation in the social sciences from age of classical social theory to the present. It begins by examining what means to represent (literally, re-present) or “tell about” social life, the various ways this has been and can be done, and the challenges we face in doing so in a way that brings value to the social settings and relations within which we work and live. It does so first by examining and comparing various genres of social representation and then distinguishing the social sciences as a distinctive if internally diverse set of approaches to understanding aspects of ""society"" or social life. To do this, the course offers a comparative introduction to traditions of social inquiry spanning the fields of sociology, political economy, economics, ""political science,"" and anthropology. Finally, the course considers the value and limitations of single-discipline only approaches to understanding the social world and the promise and challenges of a more transdisciplinary approach.
Learning Objectives: Upon successful completion of this course students will be able to: 
•	Explain in generic terms what it means to “tell about” or “represent” “society.”
•	Distinguish social sciences from other genres of social representation.
•	Make distinctions among major traditions of inquiry and ideas in the social sciences.
•	Generate questions and analyze issues from different disciplinary perspectives.
•	Bring multiple social scientific and other perspectives on a social issue of interest.",4:45 PM - 6:15 PM,0,1,0,1,0
2021-2022 Fall 2021 Term,,ECON204_Fall2021_S01,Public Finance,4,Joshua Greene,"Visiting Faculty: Joshua Greene - E: ... 
Level: Intermediate
Credits: 04 credits
Pre-requisite: No. 
Reading/Writing: Intensive 
Format: Online
Course Description: This course provides an extensive introduction to public finance concepts and issues, with a focus on applications to real world economic issues. Topics include the role of government in a modern economy, the impact of fiscal policy on the national economy and the effect of the economy on the fiscal sector, fiscal accounts, and analysis, fiscal (public debt) sustainability, revenue and expenditure policy, public enterprises, fiscal federalism and decentralization, public pension programs, fiscal policy and health care, fiscal rules, and case studies of fiscal reforms. Although students new to economics can manage the course, it would help if students have had some prior exposure to macroeconomics, particularly IS-LM analysis. 
Learning Objectives:
•	Evaluate the role of government in a modern economy.
•	Analyze the effects of fiscal policy on the national economy and vice-versa.
•	Construct fiscal accounts and key fiscal indicators for an economy.
•	Learn the main elements of revenue and expenditure policy and understand their economic implications. 
•	Address challenges facing public enterprises.
•	Examine the challenges arising from federal and decentralized fiscal systems.
•	Assess different approaches to providing public pensions.
•	Assess the consequences of fiscal rules.
•	Learn from the experience of other countries with fiscal reforms.",8:00AM - 9:30AM,0,0,1,0,1
2021-2022 Fall 2021 Term,,VS207_Fall2021_S01,Digital Creative Writing: Lessons from Vietnamese and Non-Vietnamese Writers,4,Đào Lê Na,"Visiting Faculty: Dao Le Na - E: na.dao@fulbright.edu.vn
Level: Intermediate
Credits: 04 credits
Pre-requisite: No 
Reading/Writing: Intensive
Format: Online
Course Description: Currently, creative writing is widely applied in many fields. Additionally, creative writing is also an essential subject for those who want to become professional writers as well as share their works through digital platforms. This course accumulates several skills, including reading and analyzing literary works, observations, research, along with in-depth interviews. The core of the course is to help students discover the digital world and how to compose digital texts. Students will be encouraged to think out of the box, explore their favorite creative writing styles, and choose a suitable form for their works and other ones of interactive storytelling in new media. Furthermore, contemporary social issues, historical and cultural issues of Vietnam in the context of globalization are going to be taken as the main themes of students’ works. The course will be joined by both national and international experts, famous writers, such as: Ocean Vuong, Nguyen Thanh Viet, Monique Truong, Suzanne Joinson, Tran Thuy Mai and so on to share their experiences through online platform. Students will combine theoretical knowledge, including reading, analysing literary works, with practical observation gained from a field trip to find their creative materials. At the end of the course, students will discover that anyone can write creatively, and writers must find suitable storytelling strategies for their discourse.
Disciplinary areas: *Vietnamese studies, *humanities, *cultural studies, *literature
Learning Objectives: This course will aim to:
•	The ability to evaluate literary works including poetry, fiction and memoir
•	Understanding the values of national literature and globalism
•	Understanding how to explore and handle cultural and social materials in literary writing
•	Mastering the Vietnamese language in creative writing, how to render this skill into English
•	Understanding how to translate their literary works into different digital platforms
•	Finding suitable storytelling for a writer’s discourse
•	Finding a suitable media form to publish their literary works",8:00AM - 9:30AM,0,1,0,1,0
2021-2022 Fall 2021 Term,,VS106a_Fall2021_S01,Cultural and Intellectual Foundation of Vietnamese Literary Chinese 1,4,Phan Thu Van,"Visiting Faculty: Phan Thu Van - E: van.phan@fulbright.edu.vn 
Level: Foundation
Credits: 04 credits
Pre-requisite: No Freshmen accepted
Reading/Writing: Intensive
Format: On-campus
Course Description: This course helps Fulbright students to read, interpret, and better understand works composed in Vietnamese literary Chinese by Vietnamese national eminent figures like Ly Thai To, Tran Nhan Tong, Tran Hung Dao, Nguyen Trai, Nguyen Du... and other key intelligentsias in premodern Vietnam who wrote about what happened in their times and their lives. Throughout the course, students are introduced to Sino-Vietnamese pronunciation (âm Hán-Việt) along with standard modern Chinese pronunciation in order to have a better understanding of the similarities and differences of these two pronunciation systems. Students are also guided to use the dictionaries in different ways to be able to look up the vocabulary themselves.
Having finished this course, students will:
•	Have basic knowledge of Vietnamese Literary Chinese (writing, reading, grammar)
•	Attain a vocabulary of 800 words of Vietnamese Literary Chinese per semester.
•	Gain the ability to read poems or tales in Vietnamese Literary Chinese.
•	Establish basic understanding of Vietnamese classical literature and Vietnamese literary Chinese heritage (including Vietnamese Literary Chinese in temples, or at historical sites)
•	Have greater appreciation of Vietnamese language and culture.
Learning Objectives:
There are 3 basic Learning Objectives of this course:
•	Helping students understand Vietnamese cultural heritage better through Vietnamese literary Chinese texts.
•	Helping students to learn Sino-Vietnamese pronunciations of Chinese characters along with standard modern Chinese dictions, and to use Sino-Vietnamese words more accurately and effectively in modern Vietnamese language.
•	Helping students have a broader view of the culture and history of East Asian Cultural Sphere / Kanji Cultural Sphere.",9:45 AM - 11:15 AM,0,0,1,0,1
2021-2022 Fall 2021 Term,,ARTS206_Fall2021_S01,Dance and Performance Production,4,Alexander Tu Nguyen,"Visiting Faculty : Alexander Tu Nguyen 
Level: Intermediate
Credits: 04 credits
Pre-requisite: No
Format: On-campus
Course Description: This course will introduce students to both the theoretical and practical fundamentals of dance, and the ways in which dance performances are produced. In addition, we will study selected topics in the history of dance, both in its local and international aspects, and the impact of dance within Vietnam and beyond in the 21st century. We will explore the theoretical concepts of movement and apply them through practice to build students’ foundations in movement, and learn how to develop a sense of rhythm, timing, rhythmical expression, and musicality as key to the creative process of dance. Health and safety components are essential in the development of a performer; therefore, students will obtain fundamental knowledge of the mechanics of the body. This course will also offer an opportunity to explore the intricate process and progress of a performance. Students will learn about the different elements of a production, including routine development, staging, formations, and presentation, and critically examine and analyze movement and dance from different styles of commercial dance. Throughout the course, students will work on incremental activities in preparation for a final production and execution of a performance.
Learning Objectives:
- Analyze the basic components of a dance performance/routine
- Develop fundamental skills in movement [e.g., technique, execution, coordination]
- Demonstrate the key elements of dance [e.g., rhythm, musicality]
- Acquire the necessary practical knowledge and skills to create and showcase a dance performance",1:15 PM - 2:45 PM,0,0,1,0,1
2021-2022 Fall 2021 Term,,VS202_Fall2021_S01,"Vietnamese Cinema from Its Beginning to Present: Tendencies, Operating Mechanisms, and Prospects (from Oral History Perspectives)",4,Phan Dang Di,"Visiting Faculty : Phan Dang Di
Level: Foundation
Credits: 04 credits
Pre-requisite: No Freshmen accepted
Reading/Writing: Intensive
Format: On-campus
Cross-listed: Vietnamese Studies (VS), Arts (ARTS)
Course Description: The course will go into depth in analyzing the operation of cinema through each period, in different historical contexts; filmmaking tendencies with political institutions and economic life; challenges and prospects of Vietnamese cinema in the current globalization era. The course combines the traditional teaching methods and teaching methods through ""oral history""; whereby the guests are considered ""historical subjects,"" who play an essential role in the development stages of Vietnamese cinema, will share with students stories, personal experiences, and perspectives. Through their sharing, students can find suggestions and possibilities for their career path, especially those who plan to have work in the film industry. 
Schedule Details: 8:00am – 11:15am
•	November (once/week) on Monday Nov.22 
•	December (twice/week) on Tuesdays Nov.1,8,15,22,29 and Fridays Nov.3,10,17,31
•	January (once/week) on Tuesdays Jan.4,11 and Fridays Jan.7,14",8:00AM - 11:15AM,0,0,0,0,0
2021-2022 Fall 2021 Term,,VS203_Fall2021_S01,The Challenge of Change: Civil Society and Social Movements in Vietnam ,4,Nguyen Thanh Trung,"Visiting Faculty : Nguyen Thanh Trung 
Level: Intermediate
Credits: 04 credits
Pre-requisite: No 
Reading/Writing: Intensive
Format: On-campus
Course Description: This course provides an overview of theoretical and empirical research on social movements contextualized in Vietnam. It seeks to examine different theoretical perspectives on social movements and meanwhile exposes students to empirical studies of movements across the world, in both democratic and non-democratic states, with an emphasis on Vietnam. The key questions we will examine include the following: When and why do social movements occur? How are movements organized? What do movement participants think and feel? How do social movements work? How do authorities respond to movements? Why do movements decline? What changes do movements bring about? How do Vietnamese social movements emerge and grow? Any challenges ahead for Vietnamese civil society? The course will be divided into two main parts. The first devoted to theories of social movements and the ways in which our understanding of social movements has changed over time. We will also examine mobilization to social            movements and ask why some people come to participate while others do not as well as the tactics   and successes of various social movements. The second is reserved for discussion of Vietnam's nascent social movements. There will be also experiential learning format in the course through which students will have the chance to visit an NGO in Ho Chi Minh City.
Learning Objectives: At the end of this course, the student will be able to:
•	Explain the main theories and concepts used in class.
•	Learn the analytic tools necessary to examine and critically assess the role of social movements in our society.
•	Apply the theories and concepts learned in class to better understand historical and modern social movement causes and campaigns.
•	Design a research project that incorporates a clear hypothesis, literature review, and data analysis on the topic of social movements.
•	Critically analyze and evaluate published research.
•	Apply the theories and concepts learned to analyze emerging civil society and social movements in Vietnam.
•	Develop clear critical reading, thinking, and analytical skills",1:15 PM - 2:45 PM,0,1,0,1,0
2021-2022 Fall 2021 Term,,EL101_Fall2021_S01,Experiential Learning,4,-,"Coordinator: Vincent Pham​​​ – E: vincent.pham@fulbright.edu.vn
Level: Experiential Learning
Credits: 04 credits
Pre-requisite: No. 
Format: On-campus
Course Description: Fulbright’s commitment to active and whole person learning, and employability of our graduates requires that all students engage with an experiential learning opportunity (referenced as “experience” from here on) at some point during their undergraduate careers. Broadly, “experiences” are defined as learning that occurs embedded in the actual context (and under the supervision) of an expert or practitioner, and not in a classroom environment. Specifically, “experiences” are defined as internships, service learning, or independent research/production. The Experiential Learning (EL) Course itself serves as a unifying community aspect, where students will critically reflect on and share their work. The EL Course ensures that all Fulbright students are learning in fulfilling experiences.
Learning Outcomes: Throughout the semester, students will:
•	Demonstrate and continue developing competencies acquired at Fulbright through their hands-on experience and the course.
•	Explore personal and professional interests in an applied and tangible context through their experience.
•	Build relationships and opportunities with potential employers / experts in the field through their experience.
•	Think critically about academic theories and written thought compared to their real-world experiences and applications through written assignments (short- and long-form), in-class discussions, and presentations in the course.
•	Consolidate and reflect on their knowledge and develop constructivist learning through written assignments (short- and long-form), in-class discussions, and presentations in the course.",4:45 PM - 6:15 PM,1,0,0,0,0
2021-2022 Fall 2021 Term,,HIS105_Fall2021_S01,World History Since 1300,4,Jeremy Adelman & TA: Antoine Le,"Visiting Faculty: Jeremy Adelman– E: ... TA : Antoine Le​​​ – E:  antoine.le@fulbright.edu.vn
Level: Foundation
Credits: 04 credits
Pre-requisite: No
Format: Blended - Pre-recorded lectures with Prof. Adelman and in-class session with TA.
Course Description: This course takes you on a voyage into the past. Like many of the explorers you will meet along the way, you will travel across time from when Chinggis Khan’s armies conquered China and Baghdad in the 13th century and the Black Death scoured the Eurasian world a century later right up to the globalization of our day. Do earlier modes of globalization help us to understand our own age? How can we understand old and new global divides? The dynamics of combinations, differences, and divisions are many: spiritual, economic, environmental, ideological, military, and political. The aim of this course is to understand the big forces that pull the world’s parts together as well as those that drive them apart. This course is unique not just in its scale and scope. We learn global history globally. This course connects you to students elsewhere in the world. Across 22 locations around the world, students are taking the same course simultaneously and posting and sharing their ideas on the course Gallery site.",1:15 PM - 2:45 PM,0,0,1,0,1
2021-2022 Fall 2021 Term,,HIS301_Fall2021_S01,"Europe on Trial: Law, Politics, and Society since Nuremberg",4,Andrew Harold Bellisari,"Faculty: Andrew Harold Bellisari– E: andrew.bellisari@fulbright.edu.vn
Level: Intermediate/Advanced
Credits: 04 credits
Pre-requisite: No. Students are highly recommended to take at least one foundation course in History. Students will be expected to have a general knowledge of modern European history.
Reading/Writing: Intensive 
Format: On-campus
Course Description: In the aftermath of the Second World War, European civilization lay in ruins. Over 36 million people had died, 19 million of whom were civilians. Economic devastation stalked the continent, violent score-settling was common, and near-anarchy reigned in many places. As Europeans came to terms with war and began rebuilding society they looked to legal institutions to take account of atrocities, punish (or forgive) perpetrators, and develop new ideas of justice, accountability, political liberty, and civil rights. Starting with the Nuremberg tribunal, Europeans have used (and abused) court trials to reshape the political, social, and cultural landscape of the continent. As such, trials provide an excellent lens through which to observe how Europeans confronted the most difficult controversies of their time: wartime atrocities, genocide, Stalinism, decolonization, torture, authoritarianism, the fall of Communism, postcolonial immigration, European integration, and the role of religious extremism. This course looks at “trials” real and conceptual to chart European history from 1945 to the present. Using primary sources such as original court transcripts and witness testimonies, students will examine trials for war crimes and treason, military tribunals and “show” trials, trials of terrorists and “counter-terrorists,” as well as contemporary human rights trials. They will also look at how Europeans frequently took matters into their own hands to put the past itself on trial through vigilante justice, the construction or destruction of historical monuments, and the burial and reburial of controversial historical figures. In particular, students will investigate how the same events were tried and retried, their histories told and retold over time as a gauge of Europe’s changing political landscape. 
“Europe on Trial” is designed to give Fulbright students a deeper understanding of political, social, and cultural systems beyond Vietnam. At first glance, contemporary Europe looks very different from Vietnam. Yet peace and democratic governance are recent phenomena for Europeans—the ghosts of war, occupation, and authoritarianism still haunt their societies and, as in Vietnam, Europeans also struggle to reassess their past in the face of multi-generational trauma. Students taking this course will witness how and why Europeans have constantly reexamined their past. In so doing, they will better understand Europe’s present and gain a framework for analyzing more universal questions of balancing order with civil liberties, justice, and power beyond the European continent.  
Learning Objectives: 
1.Understand the historical context, political debates, and socio-cultural transformations that occurred in Europe since 1945.
2.Compare and contrast how various postwar European political and legal systems deployed the law to address issues of justice, security, democracy, religion, and historical memory.
3.Analyze critically visual, textual, literary, legal, and archival documentation. 
4.Evaluate primary and secondary sources to address fundamental questions of historical change in Europe since 1945.
5.Craft evidence-based argumentation through written assignments that address the historical role of political systems on law and law on political systems in Europe since the end of the Second World War.",1:15 PM - 2:45 PM,0,1,0,1,0
2021-2022 Fall 2021 Term,,PSY101_Fall2021_01,Introductory Psychology,4,Skultip Sirikantraporn (Jill),"Faculty: Skultip Sirikantraporn (Jill) – E: jill.siri@fulbright.edu.vn
Level: Foundation
Credits: 04 credits
Pre-requisite: No. This course is required for Psychology major. 
Reading/Writing: Intensive
Format: On-campus
Cross-listed: Psychology (PSY), Integrated Science (IS)
Course Description: This course is designed to be an Engaged Inquiry into psychology, focusing not just on only helping students to get to know what psychology is, but also helping students develop important critical and scientific thinking skills as they engage in collaborative and reflective learning. Through this course, students will be introduced to many of the major topics, concepts, and theories of psychology. Both historical perspectives and current research are included. This course will emphasize ways students can apply psychology to various aspects of everyday life, investigate the impact of culture on psychological processes, and think critically about how psychological research and theory inform contemporary issues. Major topics in this course include biological and developmental processes; consciousness and perceptions; learning, remembering, and thinking; motivation and emotion; personality and individuality; social behavior; normal stress and coping; psychological disorders and treatment methods. This course encourages students to engage in conversations around psychology in the context of Vietnam and Vietnamese culture in order to start to compare and contrast it with the contemporary understandings and research of various psychological theories elsewhere. 
In addition, this course is designed to be the prerequisite for higher level psychology courses. It also serves all students (major and non-major) for whom this knowledge is a general contribution to a liberal arts education.
Learning Objectives: After finishing this course, students should be able to:
•	Use basic psychological terminology, concepts, and theories in psychology to explain behavioral and mental processes.
•	Describe examples of relevant and practical applications of psychological principles to everyday life.
•	Apply psychological concepts to explain personal experiences and recognize the potential for flaws in behavioral explanations based on simplistic, personal assumptions.
•	Understand and apply basic research methods in psychology, including research design, data analysis, and interpretation.
•	Describe how individual and sociocultural differences can influence the applicability/generalizability of research findings.",3:00PM - 4:30PM,0,0,1,0,1
